Time: 1.340 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.344 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.348 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.352 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.356 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.360 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.364 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.368 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.372 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.376 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.380 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.384 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.388 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.392 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.396 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.400 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.404 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.408 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.412 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.416 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.420 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.424 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.428 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.432 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.436 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.440 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.444 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.448 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.452 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.456 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.460 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.464 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.468 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.472 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.476 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.480 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.484 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.488 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.492 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.496 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.500 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.504 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.508 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.512 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.516 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.520 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.524 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.528 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.532 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.536 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.540 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.544 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.548 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.552 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.556 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.560 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.564 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.568 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.572 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.576 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.580 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.584 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.588 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.592 s, ForceX: 0.000 N, ForceZ: 0.000 N
