Time: 1.580 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.584 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.588 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.592 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.596 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.600 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.604 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.608 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.612 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.616 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.620 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.624 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.628 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.632 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.636 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.640 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.644 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.648 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.652 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.656 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.660 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.664 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.668 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.672 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.676 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.680 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.684 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.688 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.692 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.696 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.700 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.704 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.708 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.712 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.716 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.720 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.724 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.728 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.732 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.736 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.740 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.744 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.748 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.752 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.756 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.760 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.764 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.768 s, deltaX: -0.400, deltaZ: 1.930
